V1	V2
453	56300at7147	db1a
454	56458at7147	db1a
455	56488at7147	db1a
456	56533at7147	db1a
457	56536at7147	db1a
458	56673at7147	db1a
459	56864at7147	db1a
460	57004at7147	db1a
461	57083at7147	db1a
462	57264at7147	db1a
463	57304at7147	db1a
464	57452at7147	db1a
465	57453at7147	db1a
466	57531at7147	db1a
467	57561at7147	db1a
468	57855at7147	db1a
469	58118at7147	db1a
470	58209at7147	db1a
471	58229at7147	db1a
472	58276at7147	db1a
473	58372at7147	db1a
474	58385at7147	db1a
475	58968at7147	db1a
476	59095at7147	db1a
477	59290at7147	db1a
478	59638at7147	db1a
479	59641at7147	db1a
480	59971at7147	db1a
481	60086at7147	db1a
482	60158at7147	db1a
483	60183at7147	db1a
484	60394at7147	db1a
485	60416at7147	db1a
486	60554at7147	db1a
487	60650at7147	db1a
488	60759at7147	db1a
489	61054at7147	db1a
490	61202at7147	db1a
491	61375at7147	db1a
492	61379at7147	db1a
493	61391at7147	db1a
494	61444at7147	db1a
495	61663at7147	db1a
496	61699at7147	db1a
497	61788at7147	db1a
498	61874at7147	db1a
499	62055at7147	db1a
500	62123at7147	db1a
501	62147at7147	db1a
502	62191at7147	db1a
503	62423at7147	db1a
504	6256at7147	db1a
505	62838at7147	db1a
506	63216at7147	db1a
507	63274at7147	db1a
508	63321at7147	db1a
509	63370at7147	db1a
510	63462at7147	db1a
511	63658at7147	db1a
512	63677at7147	db1a
513	63704at7147	db1a
514	63722at7147	db1a
515	63723at7147	db1a
516	63836at7147	db1a
517	63890at7147	db1a
518	63921at7147	db1a
519	64043at7147	db1a
520	64129at7147	db1a
521	64216at7147	db1a
522	64379at7147	db1a
523	64717at7147	db1a
524	64850at7147	db1a
525	64935at7147	db1a
526	65008at7147	db1a
527	65157at7147	db1a
528	65184at7147	db1a
529	65377at7147	db1a
530	65476at7147	db1a
531	65478at7147	db1a
532	65550at7147	db1a
533	65894at7147	db1a
534	65990at7147	db1a
535	66044at7147	db1a
536	66515at7147	db1a
537	66719at7147	db1a
538	66722at7147	db1a
539	66744at7147	db1a
540	66992at7147	db1a
541	67093at7147	db1a
542	67112at7147	db1a
543	67366at7147	db1a
544	6736at7147	db1a
545	67498at7147	db1a
546	67559at7147	db1a
547	67785at7147	db1a
548	67875at7147	db1a
549	67899at7147	db1a
550	68008at7147	db1a
551	68061at7147	db1a
552	68238at7147	db1a
553	68270at7147	db1a
554	68886at7147	db1a
555	69007at7147	db1a
556	69053at7147	db1a
557	69132at7147	db1a
558	69166at7147	db1a
559	69191at7147	db1a
560	69326at7147	db1a
561	69384at7147	db1a
562	69502at7147	db1a
563	69560at7147	db1a
564	69674at7147	db1a
565	69950at7147	db1a
566	70107at7147	db1a
567	70109at7147	db1a
568	70188at7147	db1a
569	70347at7147	db1a
570	70395at7147	db1a
571	70776at7147	db1a
572	70841at7147	db1a
573	70846at7147	db1a
574	70882at7147	db1a
575	70937at7147	db1a
576	71048at7147	db1a
577	71081at7147	db1a
578	71217at7147	db1a
579	71229at7147	db1a
580	71402at7147	db1a
581	71696at7147	db1a
582	71992at7147	db1a
583	72034at7147	db1a
584	72059at7147	db1a
585	72226at7147	db1a
586	72228at7147	db1a
587	72235at7147	db1a
588	72241at7147	db1a
589	72244at7147	db1a
590	72423at7147	db1a
591	72437at7147	db1a
592	72465at7147	db1a
593	72527at7147	db1a
594	73094at7147	db1a
595	73200at7147	db1a
596	7326at7147	db1a
597	73409at7147	db1a
598	73701at7147	db1a
599	73781at7147	db1a
600	74012at7147	db1a
601	74055at7147	db1a
602	74259at7147	db1a
603	74476at7147	db1a
604	74708at7147	db1a
605	74895at7147	db1a
606	75137at7147	db1a
607	75166at7147	db1a
608	75263at7147	db1a
609	75286at7147	db1a
610	75288at7147	db1a
611	75302at7147	db1a
612	75442at7147	db1a
613	75455at7147	db1a
614	75570at7147	db1a
615	75673at7147	db1a
616	75697at7147	db1a
617	75710at7147	db1a
618	76014at7147	db1a
619	76203at7147	db1a
620	76265at7147	db1a
621	76399at7147	db1a
622	76970at7147	db1a
623	76995at7147	db1a
624	77043at7147	db1a
625	77047at7147	db1a
626	77075at7147	db1a
627	77086at7147	db1a
628	841at7147	db1a
629	89718at7147	db1a
630	9921at7147	db1a
631	101192at7147	db1b
632	101651at7147	db1b
633	10247at7147	db1b
634	10532at7147	db1b
635	10589at7147	db1b
636	10709at7147	db1b
637	109478at7147	db1b
638	112161at7147	db1b
639	11268at7147	db1b
640	114519at7147	db1b
641	118121at7147	db1b
642	11888at7147	db1b
643	11999at7147	db1b
644	13207at7147	db1b
645	13497at7147	db1b
646	13919at7147	db1b
647	139373at7147	db1b
648	142376at7147	db1b
649	147707at7147	db1b
650	148238at7147	db1b
651	15451at7147	db1b
652	162166at7147	db1b
653	162402at7147	db1b
654	162519at7147	db1b
655	162532at7147	db1b
656	162607at7147	db1b
657	163134at7147	db1b
658	163386at7147	db1b
659	163466at7147	db1b
660	164134at7147	db1b
661	164211at7147	db1b
662	164323at7147	db1b
663	164356at7147	db1b
664	164649at7147	db1b
665	164695at7147	db1b
666	164941at7147	db1b
667	165168at7147	db1b
668	165401at7147	db1b
669	165426at7147	db1b
670	165515at7147	db1b
671	165708at7147	db1b
672	165770at7147	db1b
673	166165at7147	db1b
674	166570at7147	db1b
675	166700at7147	db1b
676	166880at7147	db1b
677	166887at7147	db1b
678	166974at7147	db1b
679	166996at7147	db1b
680	167199at7147	db1b
681	167499at7147	db1b
682	167791at7147	db1b
683	167857at7147	db1b
684	168044at7147	db1b
685	168098at7147	db1b
686	168291at7147	db1b
687	168384at7147	db1b
688	169203at7147	db1b
689	172545at7147	db1b
690	172608at7147	db1b
691	173922at7147	db1b
692	174920at7147	db1b
693	175325at7147	db1b
694	176312at7147	db1b
695	177450at7147	db1b
696	178219at7147	db1b
697	178266at7147	db1b
698	178990at7147	db1b
699	180262at7147	db1b
700	180334at7147	db1b
701	180842at7147	db1b
702	181073at7147	db1b
703	182092at7147	db1b
704	182927at7147	db1b
705	183298at7147	db1b
706	183493at7147	db1b
707	184186at7147	db1b
708	185268at7147	db1b
709	185954at7147	db1b
710	188966at7147	db1b
711	189185at7147	db1b
712	18923at7147	db1b
713	189871at7147	db1b
714	190806at7147	db1b
715	191233at7147	db1b
716	1914at7147	db1b
717	191822at7147	db1b
718	191851at7147	db1b
719	192402at7147	db1b
720	192665at7147	db1b
721	192881at7147	db1b
722	193196at7147	db1b
723	195495at7147	db1b
724	196431at7147	db1b
725	196881at7147	db1b
726	19746at7147	db1b
727	197548at7147	db1b
728	197783at7147	db1b
729	198415at7147	db1b
730	1984at7147	db1b
731	199717at7147	db1b
732	201478at7147	db1b
733	201825at7147	db1b
734	202692at7147	db1b
735	202954at7147	db1b
736	203388at7147	db1b
737	203903at7147	db1b
738	203937at7147	db1b
739	204218at7147	db1b
740	205199at7147	db1b
741	205575at7147	db1b
742	205708at7147	db1b
743	206399at7147	db1b
744	206872at7147	db1b
745	206995at7147	db1b
746	207122at7147	db1b
747	207465at7147	db1b
748	207846at7147	db1b
749	209603at7147	db1b
750	210318at7147	db1b
751	210564at7147	db1b
752	211486at7147	db1b
753	212769at7147	db1b
754	213540at7147	db1b
755	214308at7147	db1b
756	21468at7147	db1b
757	215847at7147	db1b
758	217495at7147	db1b
759	218373at7147	db1b
760	220551at7147	db1b
761	220877at7147	db1b
762	221229at7147	db1b
763	221865at7147	db1b
764	222421at7147	db1b
765	223263at7147	db1b
766	224411at7147	db1b
767	224872at7147	db1b
768	225812at7147	db1b
769	225861at7147	db1b
770	226105at7147	db1b
771	227440at7147	db1b
772	227465at7147	db1b
773	227680at7147	db1b
774	227814at7147	db1b
775	227886at7147	db1b
776	229132at7147	db1b
777	229432at7147	db1b
778	229985at7147	db1b
779	230100at7147	db1b
780	230420at7147	db1b
781	231005at7147	db1b
782	231846at7147	db1b
783	23278at7147	db1b
784	2332at7147	db1b
785	233337at7147	db1b
786	23365at7147	db1b
787	234740at7147	db1b
788	235431at7147	db1b
789	235602at7147	db1b
790	235673at7147	db1b
791	238389at7147	db1b
792	240204at7147	db1b
793	240412at7147	db1b
794	240445at7147	db1b
795	240448at7147	db1b
796	241416at7147	db1b
797	241656at7147	db1b
798	242514at7147	db1b
799	243117at7147	db1b
800	243513at7147	db1b
801	24411at7147	db1b
802	245598at7147	db1b
803	245844at7147	db1b
804	246220at7147	db1b
805	246425at7147	db1b
806	24690at7147	db1b
807	247389at7147	db1b
808	247416at7147	db1b
809	247421at7147	db1b
810	249592at7147	db1b
811	249654at7147	db1b
812	250930at7147	db1b
813	251255at7147	db1b
814	252361at7147	db1b
815	253148at7147	db1b
816	253255at7147	db1b
817	254294at7147	db1b
818	254729at7147	db1b
819	255232at7147	db1b
820	25587at7147	db1b
821	256773at7147	db1b
822	257205at7147	db1b
823	257513at7147	db1b
824	25769at7147	db1b
825	257724at7147	db1b
826	258962at7147	db1b
827	259745at7147	db1b
828	260425at7147	db1b
829	260788at7147	db1b
830	260837at7147	db1b
831	260978at7147	db1b
832	261900at7147	db1b
833	261987at7147	db1b
834	262164at7147	db1b
835	262736at7147	db1b
836	2635at7147	db1b
837	26382at7147	db1b
838	263976at7147	db1b
839	26413at7147	db1b
840	264404at7147	db1b
841	264617at7147	db1b
842	26486at7147	db1b
843	265189at7147	db1b
844	266157at7147	db1b
845	267242at7147	db1b
846	268554at7147	db1b
847	269141at7147	db1b
848	269533at7147	db1b
849	269745at7147	db1b
850	2697at7147	db1b
851	269897at7147	db1b
852	270382at7147	db1b
853	270657at7147	db1b
854	27072at7147	db1b
855	270859at7147	db1b
856	271359at7147	db1b
857	271424at7147	db1b
858	27217at7147	db1b
859	272414at7147	db1b
860	27268at7147	db1b
861	2727at7147	db1b
862	274415at7147	db1b
863	274432at7147	db1b
864	275730at7147	db1b
865	275849at7147	db1b
866	275895at7147	db1b
867	276040at7147	db1b
868	276759at7147	db1b
869	278577at7147	db1b
870	279591at7147	db1b
871	279885at7147	db1b
872	280062at7147	db1b
873	280885at7147	db1b
874	281121at7147	db1b
875	282449at7147	db1b
876	283239at7147	db1b
877	284136at7147	db1b
878	284347at7147	db1b
879	284372at7147	db1b
880	285523at7147	db1b
881	286673at7147	db1b
882	286690at7147	db1b
883	287222at7147	db1b
884	287408at7147	db1b
885	2881at7147	db1b
886	288954at7147	db1b
887	289085at7147	db1b
888	28937at7147	db1b
889	290299at7147	db1b
890	290444at7147	db1b
891	290691at7147	db1b
892	290958at7147	db1b
893	292349at7147	db1b
894	292726at7147	db1b
895	294184at7147	db1b
896	294471at7147	db1b
897	295134at7147	db1b
898	29601at7147	db1b
899	297491at7147	db1b
900	297503at7147	db1b
901	297732at7147	db1b
902	297739at7147	db1b
903	299539at7147	db1b
904	299971at7147	db1b
905	300243at7147	db1b
906	300838at7147	db1b
907	301539at7147	db1b
908	301586at7147	db1b
909	302118at7147	db1b
910	302156at7147	db1b
911	302362at7147	db1b
912	302560at7147	db1b
913	305080at7147	db1b
914	305169at7147	db1b
915	306015at7147	db1b
916	306693at7147	db1b
917	308534at7147	db1b
918	309380at7147	db1b
919	310315at7147	db1b
920	310552at7147	db1b
921	310592at7147	db1b
922	311174at7147	db1b
923	311315at7147	db1b
924	312089at7147	db1b
925	312584at7147	db1b
926	312646at7147	db1b
927	313017at7147	db1b
928	313141at7147	db1b
929	313158at7147	db1b
930	313430at7147	db1b
931	313720at7147	db1b
932	313821at7147	db1b
933	314202at7147	db1b
934	315138at7147	db1b
935	315365at7147	db1b
936	315460at7147	db1b
937	315468at7147	db1b
938	315858at7147	db1b
939	316860at7147	db1b
940	316900at7147	db1b
941	317059at7147	db1b
942	317550at7147	db1b
943	321070at7147	db1b
944	321465at7147	db1b
945	323919at7147	db1b
946	32626at7147	db1b
947	327274at7147	db1b
948	328594at7147	db1b
949	329586at7147	db1b
950	329721at7147	db1b
951	329987at7147	db1b
952	330435at7147	db1b
953	33085at7147	db1b
954	331204at7147	db1b
955	331518at7147	db1b
956	331960at7147	db1b
957	332963at7147	db1b
958	334495at7147	db1b
959	338004at7147	db1b
960	342494at7147	db1b
961	342549at7147	db1b
962	343418at7147	db1b
963	343707at7147	db1b
964	34764at7147	db1b
965	348620at7147	db1b
966	34985at7147	db1b
967	350084at7147	db1b
968	350773at7147	db1b
969	35156at7147	db1b
970	36740at7147	db1b
971	36899at7147	db1b
972	36930at7147	db1b
973	37058at7147	db1b
974	37496at7147	db1b
975	37882at7147	db1b
976	3788at7147	db1b
977	38461at7147	db1b
978	39681at7147	db1b
979	39784at7147	db1b
980	39872at7147	db1b
981	40508at7147	db1b
982	41576at7147	db1b
983	44085at7147	db1b
984	44134at7147	db1b
985	44563at7147	db1b
986	4470at7147	db1b
987	452at7147	db1b
988	45557at7147	db1b
989	45696at7147	db1b
990	45853at7147	db1b
991	46187at7147	db1b
992	46304at7147	db1b
993	46348at7147	db1b
994	47852at7147	db1b
995	48185at7147	db1b
996	4829at7147	db1b
997	49837at7147	db1b
998	50930at7147	db1b
999	540at7147	db1b
1000	54668at7147	db1b
1001	54771at7147	db1b
1002	54790at7147	db1b
1003	54805at7147	db1b
1004	54856at7147	db1b
1005	55040at7147	db1b
1006	55124at7147	db1b
1007	55349at7147	db1b
1008	55471at7147	db1b
1009	55494at7147	db1b
1010	55620at7147	db1b
1011	55771at7147	db1b
1012	55939at7147	db1b
1013	56067at7147	db1b
1014	56266at7147	db1b
1015	56416at7147	db1b
1016	56561at7147	db1b
1017	56636at7147	db1b
1018	56871at7147	db1b
1019	57057at7147	db1b
1020	57097at7147	db1b
1021	57204at7147	db1b
1022	57255at7147	db1b
1023	5768at7147	db1b
1024	57816at7147	db1b
1025	57917at7147	db1b
1026	58069at7147	db1b
1027	58205at7147	db1b
1028	58647at7147	db1b
1029	58804at7147	db1b
1030	58829at7147	db1b
1031	60031at7147	db1b
1032	60242at7147	db1b
1033	60375at7147	db1b
1034	60412at7147	db1b
1035	60603at7147	db1b
1036	60771at7147	db1b
1037	60815at7147	db1b
1038	60819at7147	db1b
1039	61498at7147	db1b
1040	61562at7147	db1b
1041	61808at7147	db1b
1042	61922at7147	db1b
1043	61968at7147	db1b
1044	62295at7147	db1b
1045	62349at7147	db1b
1046	62350at7147	db1b
1047	62682at7147	db1b
1048	62792at7147	db1b
1049	62818at7147	db1b
1050	62969at7147	db1b
1051	63303at7147	db1b
1052	63515at7147	db1b
1053	63583at7147	db1b
1054	63635at7147	db1b
1055	63748at7147	db1b
1056	63826at7147	db1b
1057	63940at7147	db1b
1058	64192at7147	db1b
1059	64947at7147	db1b
1060	65012at7147	db1b
1061	65343at7147	db1b
1062	65571at7147	db1b
1063	65657at7147	db1b
1064	65866at7147	db1b
1065	65934at7147	db1b
1066	65956at7147	db1b
1067	66070at7147	db1b
1068	66139at7147	db1b
1069	66177at7147	db1b
1070	66213at7147	db1b
1071	66247at7147	db1b
1072	66341at7147	db1b
1073	66352at7147	db1b
1074	66525at7147	db1b
1075	66557at7147	db1b
1076	66610at7147	db1b
1077	66632at7147	db1b
1078	66704at7147	db1b
1079	66707at7147	db1b
1080	66740at7147	db1b
1081	66761at7147	db1b
1082	66787at7147	db1b
1083	66795at7147	db1b
1084	66810at7147	db1b
1085	66948at7147	db1b
1086	66998at7147	db1b
1087	67133at7147	db1b
1088	67224at7147	db1b
1089	67239at7147	db1b
1090	67287at7147	db1b
1091	67423at7147	db1b
1092	67489at7147	db1b
1093	67523at7147	db1b
1094	67592at7147	db1b
1095	67639at7147	db1b
1096	67909at7147	db1b
1097	68020at7147	db1b
1098	68207at7147	db1b
1099	68209at7147	db1b
1100	68228at7147	db1b
1101	68266at7147	db1b
1102	68421at7147	db1b
1103	68422at7147	db1b
1104	68596at7147	db1b
1105	68784at7147	db1b
1106	69060at7147	db1b
1107	69184at7147	db1b
1108	69547at7147	db1b
1109	69554at7147	db1b
1110	69582at7147	db1b
1111	69608at7147	db1b
1112	69769at7147	db1b
1113	69951at7147	db1b
1114	70013at7147	db1b
1115	70113at7147	db1b
1116	70729at7147	db1b
1117	70861at7147	db1b
1118	70996at7147	db1b
1119	71479at7147	db1b
1120	71503at7147	db1b
1121	71572at7147	db1b
1122	71583at7147	db1b
1123	71640at7147	db1b
1124	72083at7147	db1b
1125	72460at7147	db1b
1126	72688at7147	db1b
1127	72723at7147	db1b
1128	72909at7147	db1b
1129	72936at7147	db1b
1130	73047at7147	db1b
1131	73088at7147	db1b
1132	73113at7147	db1b
1133	73346at7147	db1b
1134	73360at7147	db1b
1135	73429at7147	db1b
1136	73435at7147	db1b
1137	73491at7147	db1b
1138	73517at7147	db1b
1139	73692at7147	db1b
1140	73709at7147	db1b
1141	73713at7147	db1b
1142	73893at7147	db1b
1143	73913at7147	db1b
1144	74406at7147	db1b
1145	74464at7147	db1b
1146	74677at7147	db1b
1147	74769at7147	db1b
1148	74907at7147	db1b
1149	75011at7147	db1b
1150	75282at7147	db1b
1151	75919at7147	db1b
1152	76164at7147	db1b
1153	76235at7147	db1b
