species	accession	chromosome	busco_odb12_complete_count	chromosome_size_b
Anopheles_coluzzii	GCF_943734685.1	NC_064671.1	1746	95248607
Anopheles_coustani	GCF_943734705.1	NC_071289.1	2074	94852749
Anopheles_coustani	GCF_943734705.1	NC_071288.1	2235	97602170
Anopheles_coustani	GCF_943734705.1	NC_071290.1	411	19033788
Anopheles_cruzii	GCF_943734635.1	NC_069143.1	355	12170496
Anopheles_cruzii	GCF_943734635.1	NC_069144.1	1816	62075725
Anopheles_cruzii	GCF_943734635.1	NC_069145.1	2439	87567467
Anopheles_darlingi	GCF_943734745.1	NC_064873.1	378	13401267
Anopheles_darlingi	GCF_943734745.1	NC_064874.1	2477	94951917
Anopheles_darlingi	GCF_943734745.1	NC_064875.1	1833	71270736
Anopheles_funestus	GCF_943734845.2	NC_064597.1	433	22264324
Anopheles_funestus	GCF_943734845.2	NC_064598.1	2516	102883511
Anopheles_funestus	GCF_943734845.2	NC_064599.1	1866	84636641
Anopheles_funestus-like	GCA_016170035.1	CM028108.1	935	44372129
Anopheles_funestus-like	GCA_016170035.1	CM028109.1	972	39085082
Anopheles_funestus-like	GCA_016170035.1	CM028110.1	610	34205828
Anopheles_funestus-like	GCA_016170035.1	CM028111.1	1067	43687904
Anopheles_funestus-like	GCA_016170035.1	CM028107.1	465	20187332
Anopheles_gambia	GCF_943734735.2	NC_064600.1	416	28097889
Anopheles_gambia	GCF_943734735.2	NC_064601.1	2606	118196952
Anopheles_gambia	GCF_943734735.2	NC_064602.1	1763	99149756
Anopheles_longipalpis	GCA_016170015.1	CM028103.1	686	49924677
Anopheles_longipalpis	GCA_016170015.1	CM028104.1	420	18736924
Anopheles_longipalpis	GCA_016170015.1	CM028105.1	438	36616011
Anopheles_longipalpis	GCA_016170015.1	CM028106.1	859	49681555
Anopheles_longipalpis	GCA_016170015.1	CM028102.1	360	22423081
Anopheles_maculipalpis	GCF_943734695.1	NC_064870.1	417	21651475
Anopheles_maculipalpis	GCF_943734695.1	NC_064871.1	2277	98751411
Anopheles_maculipalpis	GCF_943734695.1	NC_064872.1	2088	92548589
Anopheles_marshallii	GCF_943734725.1	NC_071325.1	426	19747139
Anopheles_marshallii	GCF_943734725.1	NC_071326.1	2280	92345055
Anopheles_marshallii	GCF_943734725.1	NC_071327.1	2099	84416232
Anopheles_mascarensis	GCA_965266975.1	OZ253849.1	2591	100378940
Anopheles_mascarensis	GCA_965266975.1	OZ253850.1	1759	81884516
Anopheles_mascarensis	GCA_965266975.1	OZ253851.1	422	20004061
Anopheles_merus	GCF_017562075.2	NC_054081.1	398	26568755
Anopheles_merus	GCF_017562075.2	NC_054082.1	1419	63277359
Anopheles_merus	GCF_017562075.2	NC_054083.1	1038	54243648
Anopheles_merus	GCF_017562075.2	NC_054084.1	920	50316797
Anopheles_merus	GCF_017562075.2	NC_054085.1	674	39960157
Anopheles_minimus	GCA_965234385.1	OZ248558.1	2255	93821427
Anopheles_minimus	GCA_965234385.1	OZ248559.1	2068	88999630
Anopheles_minimus	GCA_965234385.1	OZ248560.1	418	18489446
Anopheles_moucheti	GCF_943734755.1	NC_069140.1	2260	103511506
Anopheles_moucheti	GCF_943734755.1	NC_069141.1	2092	92649126
Anopheles_moucheti	GCF_943734755.1	NC_069142.1	423	18119141
Anopheles_nili	GCF_943737925.1	NC_071291.1	2262	78106464
Anopheles_nili	GCF_943737925.1	NC_071292.1	2061	75938266
Anopheles_nili	GCF_943737925.1	NC_071293.1	414	15967621
Anopheles_oryzalimnetes	GCA_964417245.1	OZ207297.1	2479	93724499
Anopheles_oryzalimnetes	GCA_964417245.1	OZ207298.1	1780	69225261
Anopheles_oryzalimnetes	GCA_964417245.1	OZ207299.1	384	12695493
Anopheles_parensis	GCA_016254315.1	CM028124.1	556	30688485
Anopheles_parensis	GCA_016254315.1	CM028125.1	782	34068625
Anopheles_parensis	GCA_016254315.1	CM028126.1	475	43336102
Anopheles_parensis	GCA_016254315.1	CM028127.1	988	45199288
Anopheles_parensis	GCA_016254315.1	CM028123.1	461	20062383
Anopheles_pauliani	GCA_965234765.1	OZ248574.1	2238	80316327
Anopheles_pauliani	GCA_965234765.1	OZ248575.1	2051	77693097
Anopheles_pauliani	GCA_965234765.1	OZ248576.1	422	22312940
Anopheles_pharoensis	GCA_965231785.1	OZ246919.1	2617	120260794
Anopheles_pharoensis	GCA_965231785.1	OZ246920.1	1760	110960966
Anopheles_pharoensis	GCA_965231785.1	OZ246921.1	397	55200244
Anopheles_pretoriensis	GCA_965234755.1	OZ248578.1	2091	92252447
Anopheles_pretoriensis	GCA_965234755.1	OZ248579.1	2270	89260667
Anopheles_pretoriensis	GCA_965234755.1	OZ248580.1	424	19187504
Anopheles_pretoriensis	GCA_965234755.1	OZ248581.1	0	15402
Anopheles_rivulorum	GCA_018908115.1	CM032177.1	809	33018472
Anopheles_rivulorum	GCA_018908115.1	CM032178.1	996	45054358
Anopheles_rivulorum	GCA_018908115.1	CM032179.1	312	16059766
Anopheles_squamosus	GCA_965234655.1	OZ248582.1	2595	120957308
Anopheles_squamosus	GCA_965234655.1	OZ248583.1	1755	115204239
Anopheles_squamosus	GCA_965234655.1	OZ248584.1	370	59052084
Anopheles_stephensi	GCF_013141755.1	NC_050201.1	423	22713616
Anopheles_stephensi	GCF_013141755.1	NC_050202.1	2167	93706023
Anopheles_stephensi	GCF_013141755.1	NC_050203.1	1966	88747589
Anopheles_vaneedeni	GCA_016170025.1	CM028118.1	630	43164299
Anopheles_vaneedeni	GCA_016170025.1	CM028117.1	496	21833418
Anopheles_vaneedeni	GCA_016170025.1	STHA01000006.1	925	47023152
Anopheles_vaneedeni	GCA_016170025.1	STHA01000002.1	47	1239921
Anopheles_vaneedeni	GCA_016170025.1	STHA01000003.1	1462	57364019
Anopheles_vaneedeni	GCA_016170025.1	STHA01000007.1	6	271663
Anopheles_vaneedeni	GCA_016170025.1	STHA01000008.1	126	7277665
Anopheles_vaneedeni	GCA_016170025.1	STHA01000005.1	1092	47560645
Anopheles_ziemanni	GCF_943734765.1	NC_080705.1	2074	94852749
Anopheles_ziemanni	GCF_943734765.1	NC_080706.1	2235	97602170
Anopheles_ziemanni	GCF_943734765.1	NC_080707.1	411	19033788
Anthomyza_gracilis	GCA_964263875.1	OZ182061.1	881	141728741
Anthomyza_gracilis	GCA_964263875.1	OZ182062.1	1224	114270359
Anthomyza_gracilis	GCA_964263875.1	OZ182063.1	930	103229015
Anthomyza_gracilis	GCA_964263875.1	OZ182064.1	886	100164150
Anthomyza_gracilis	GCA_964263875.1	OZ182065.1	842	89943807
Anthomyza_gracilis	GCA_964263875.1	OZ182066.1	30	9231330
Anthrax_anthrax	GCA_963971155.1	OZ020117.1	1043	78218306
Anthrax_anthrax	GCA_963971155.1	OZ020118.1	867	37450405
Anthrax_anthrax	GCA_963971155.1	OZ020119.1	641	33598039
Anthrax_anthrax	GCA_963971155.1	OZ020120.1	751	30142857
Anthrax_anthrax	GCA_963971155.1	OZ020122.1	275	26606904
Anthrax_anthrax	GCA_963971155.1	OZ020123.1	463	22702621
Anthrax_anthrax	GCA_963971155.1	OZ020124.1	170	19537022
Anthrax_anthrax	GCA_963971155.1	OZ020121.1	511	27422141
Anthrax_anthrax	GCA_963971155.1	OZ020125.1	0	18393317
Aphidoletes_aphidimyza	GCA_030463065.1	CM059996.1	1364	52628912
Aphidoletes_aphidimyza	GCA_030463065.1	CM059997.1	1075	46847481
Aphidoletes_aphidimyza	GCA_030463065.1	CM059998.1	1133	45759590
Aphidoletes_aphidimyza	GCA_030463065.1	CM059999.1	972	44761512
Argyra_leucocephala	GCA_963942445.1	OZ012677.1	1174	212714337
Argyra_leucocephala	GCA_963942445.1	OZ012678.1	1054	186742744
Argyra_leucocephala	GCA_963942445.1	OZ012679.1	892	167536330
Argyra_leucocephala	GCA_963942445.1	OZ012680.1	779	152033627
Argyra_leucocephala	GCA_963942445.1	OZ012681.1	739	138336137
Argyra_leucocephala	GCA_963942445.1	OZ012682.1	59	55212872
Atherix_ibis	GCA_958298945.2	OY282605.2	1201	250242211
Atherix_ibis	GCA_958298945.2	OY282606.2	1246	128162399
Atherix_ibis	GCA_958298945.2	OY282607.2	1082	112072196
Atherix_ibis	GCA_958298945.2	OY282608.2	779	91050623
Atherix_ibis	GCA_958298945.2	OY282609.2	328	68571911
Azelia_nebulosa	GCA_964235425.1	OZ174196.1	1271	156472645
Azelia_nebulosa	GCA_964235425.1	OZ174197.1	822	149482210
Azelia_nebulosa	GCA_964235425.1	OZ174198.1	945	128685118
Azelia_nebulosa	GCA_964235425.1	OZ174199.1	929	128053328
Azelia_nebulosa	GCA_964235425.1	OZ174200.1	967	119927329
Baccha_elongata	GCA_951217065.1	OX578272.1	2979	261363300
Baccha_elongata	GCA_951217065.1	OX578273.1	1037	92425898
Baccha_elongata	GCA_951217065.1	OX578274.1	806	87222663
Bactrocera_correcta	GCA_027475135.1	CM050322.1	21	82980899
Bactrocera_correcta	GCA_027475135.1	CM050323.1	176	160328009
Bactrocera_correcta	GCA_027475135.1	CM050324.1	1	17974299
Bactrocera_correcta	GCA_027475135.1	CM050325.1	2232	166493373
Bactrocera_correcta	GCA_027475135.1	CM050326.1	1264	100634671
Bactrocera_correcta	GCA_027475135.1	CM050327.1	847	81768268
Bactrocera_dorsalis	GCF_023373825.1	NC_064303.1	714	114943187
Bactrocera_dorsalis	GCF_023373825.1	NC_064304.1	979	106640461
Bactrocera_dorsalis	GCF_023373825.1	NC_064305.1	778	93297747
Bactrocera_dorsalis	GCF_023373825.1	NC_064306.1	808	74755765
Bactrocera_dorsalis	GCF_023373825.1	NC_064307.1	837	74733959
Bactrocera_dorsalis	GCF_023373825.1	NC_064308.1	21	42482483
Bellardia_bayeri	GCA_950370525.1	OX493264.1	1292	136390895
Bellardia_bayeri	GCA_950370525.1	OX493265.1	860	106811531
Bellardia_bayeri	GCA_950370525.1	OX493266.1	924	103251160
Bellardia_bayeri	GCA_950370525.1	OX493267.1	969	100137837
Bellardia_bayeri	GCA_950370525.1	OX493268.1	958	90486512
Bellardia_bayeri	GCA_950370525.1	OX493269.1	17	9370480
Bellardia_bayeri	GCA_950370525.1	OX493270.1	0	1101452
Bellardia_pandia	GCA_916048285.2	OU696529.1	1267	143138224
Bellardia_pandia	GCA_916048285.2	OU696530.1	860	113418196
Bellardia_pandia	GCA_916048285.2	OU696531.1	961	111823772
Bellardia_pandia	GCA_916048285.2	OU696532.1	918	110188975
Bellardia_pandia	GCA_916048285.2	OU696533.1	956	105674150
Bellardia_pandia	GCA_916048285.2	OU696534.1	17	19540375
Beris_chalybata	GCA_949128065.1	OX421894.1	1119	148233473
Beris_chalybata	GCA_949128065.1	OX421895.1	1322	142415298
Beris_chalybata	GCA_949128065.1	OX421896.1	1461	120990837
Beris_chalybata	GCA_949128065.1	OX421897.1	823	114440707
Beris_chalybata	GCA_949128065.1	OX421898.1	88	13552188
Beris_chalybata	GCA_949128065.1	OX421899.1	0	737000
Beris_morrisii	GCA_951812415.1	OX638310.1	1518	171380801
Beris_morrisii	GCA_951812415.1	OX638311.1	1327	163701312
Beris_morrisii	GCA_951812415.1	OX638312.1	1126	146818092
Beris_morrisii	GCA_951812415.1	OX638313.1	841	117093200
Beris_morrisii	GCA_951812415.1	OX638314.1	85	12229290
Bibio_marci	GCA_910594885.2	OU343114.1	1174	97962292
Bibio_marci	GCA_910594885.2	OU343115.1	1013	71598514
Bibio_marci	GCA_910594885.2	OU343116.1	852	54570542
Bibio_marci	GCA_910594885.2	OU343117.1	746	49479901
Bibio_marci	GCA_910594885.2	OU343118.1	641	45408480
Bibio_marci	GCA_910594885.2	OU343119.1	47	20989734
Blera_fallax	GCA_946965025.1	OX337244.1	1240	123392791
Blera_fallax	GCA_946965025.1	OX337245.1	968	87332210
Blera_fallax	GCA_946965025.1	OX337246.1	902	79067313
Blera_fallax	GCA_946965025.1	OX337247.1	857	76753960
Blera_fallax	GCA_946965025.1	OX337248.1	930	75264518
Blera_fallax	GCA_946965025.1	OX337249.1	63	13657531
Blera_fallax	GCA_946965025.1	OX337250.1	0	2734337
Bombylius_discolor	GCA_939192795.1	OW584238.1	1145	56656967
Bombylius_discolor	GCA_939192795.1	OW584239.1	801	56037345
Bombylius_discolor	GCA_939192795.1	OW584240.1	843	53173211
Bombylius_discolor	GCA_939192795.1	OW584241.1	980	42140605
Bombylius_discolor	GCA_939192795.1	OW584242.1	480	38517535
Bombylius_discolor	GCA_939192795.1	OW584243.1	474	32979702
Bombylius_major	GCA_932526495.1	OW052042.1	1129	60331320
Bombylius_major	GCA_932526495.1	OW052043.1	825	57429940
Bombylius_major	GCA_932526495.1	OW052044.1	1074	52534525
Bombylius_major	GCA_932526495.1	OW052045.1	697	46928709
Bombylius_major	GCA_932526495.1	OW052047.1	462	34171463
Bombylius_major	GCA_932526495.1	OW052046.1	471	43808608
Bombylius_major	GCA_932526495.1	OW052048.1	0	615618
Brachyopa_scutellaris	GCA_949775065.1	OX459112.1	1815	199585533
Brachyopa_scutellaris	GCA_949775065.1	OX459113.1	1151	133158200
Brachyopa_scutellaris	GCA_949775065.1	OX459114.1	1061	130060813
Brachyopa_scutellaris	GCA_949775065.1	OX459115.1	857	105026145
Brachyopa_scutellaris	GCA_949775065.1	OX459116.1	65	18109146
Brachypalpus_laphriformis	GCA_945910035.1	OX246753.1	1769	354881887
Brachypalpus_laphriformis	GCA_945910035.1	OX246754.1	1222	306296502
Brachypalpus_laphriformis	GCA_945910035.1	OX246755.1	895	199197075
Brachypalpus_laphriformis	GCA_945910035.1	OX246756.1	958	179823624
Brachypalpus_laphriformis	GCA_945910035.1	OX246757.1	62	26071760
Bradysia_coprophila	GCA_014529535.2	CM025453.2	966	58343183
Bradysia_coprophila	GCA_014529535.2	CM025454.2	1106	71047972
Bradysia_coprophila	GCA_014529535.2	CM025456.2	1134	70507862
Bradysia_coprophila	GCA_014529535.2	CM025455.2	1479	97081274
Calliopum_simillimum	GCA_951812925.1	OX638368.1	1244	162890295
Calliopum_simillimum	GCA_951812925.1	OX638369.1	833	131183449
Calliopum_simillimum	GCA_951812925.1	OX638370.1	910	124334187
Calliopum_simillimum	GCA_951812925.1	OX638371.1	983	119491850
Calliopum_simillimum	GCA_951812925.1	OX638372.1	919	116999668
Calliopum_simillimum	GCA_951812925.1	OX638373.1	23	19846309
Calliphora_vicina	GCF_958450345.1	NC_088780.1	1294	172799725
Calliphora_vicina	GCF_958450345.1	NC_088781.1	860	143956583
Calliphora_vicina	GCF_958450345.1	NC_088782.1	952	131702511
Calliphora_vicina	GCF_958450345.1	NC_088783.1	930	122699165
Calliphora_vicina	GCF_958450345.1	NC_088784.1	958	114622126
Calliphora_vicina	GCF_958450345.1	NC_088785.1	16	9037199
Calliphora_vomitoria	GCA_942486065.2	OW818029.2	1290	178044008
Calliphora_vomitoria	GCA_942486065.2	OW818030.2	862	143363408
Calliphora_vomitoria	GCA_942486065.2	OW818031.2	964	130622763
Calliphora_vomitoria	GCA_942486065.2	OW818032.2	927	124477293
Calliphora_vomitoria	GCA_942486065.2	OW818033.2	959	117304824
Calliphora_vomitoria	GCA_942486065.2	OW818034.2	15	7052511
Campiglossa_producta	GCA_964058745.1	OZ060070.1	1182	196968248
Campiglossa_producta	GCA_964058745.1	OZ060071.1	929	160798657
Campiglossa_producta	GCA_964058745.1	OZ060072.1	799	137559907
Campiglossa_producta	GCA_964058745.1	OZ060073.1	938	132657830
Campiglossa_producta	GCA_964058745.1	OZ060074.1	883	122133845
Campiglossa_producta	GCA_964058745.1	OZ060075.1	13	83416821
Chalcosyrphus_nemorum	GCA_949716465.1	OX454332.1	1783	110385039
Chalcosyrphus_nemorum	GCA_949716465.1	OX454333.1	1240	89739738
Chalcosyrphus_nemorum	GCA_949716465.1	OX454334.1	978	61951922
Chalcosyrphus_nemorum	GCA_949716465.1	OX454335.1	899	53859270
Chalcosyrphus_nemorum	GCA_949716465.1	OX454336.1	60	11745723
Cheilosia_grossa	GCA_963082955.1	OY720144.1	1236	102793891
Cheilosia_grossa	GCA_963082955.1	OY720145.1	928	67884074
Cheilosia_grossa	GCA_963082955.1	OY720146.1	968	65050764
Cheilosia_grossa	GCA_963082955.1	OY720147.1	896	58712777
Cheilosia_grossa	GCA_963082955.1	OY720148.1	865	58539889
Cheilosia_grossa	GCA_963082955.1	OY720149.1	60	8576833
Cheilosia_impressa	GCA_948293265.1	OX411880.1	1232	146349529
Cheilosia_impressa	GCA_948293265.1	OX411881.1	957	60011629
Cheilosia_impressa	GCA_948293265.1	OX411882.1	928	57726112
Cheilosia_impressa	GCA_948293265.1	OX411883.1	860	54084648
Cheilosia_impressa	GCA_948293265.1	OX411884.1	897	54006746
Cheilosia_impressa	GCA_948293265.1	OX411885.1	66	9825270
Cheilosia_pagana	GCA_936431705.1	OW386166.1	1239	118147124
Cheilosia_pagana	GCA_936431705.1	OW386167.1	965	63862789
Cheilosia_pagana	GCA_936431705.1	OW386168.1	925	58560770
Cheilosia_pagana	GCA_936431705.1	OW386169.1	862	54656508
Cheilosia_pagana	GCA_936431705.1	OW386170.1	895	52569716
Cheilosia_pagana	GCA_936431705.1	OW386171.1	66	6104080
Cheilosia_scutellata	GCA_955612985.1	OY015311.1	1672	152337136
Cheilosia_scutellata	GCA_955612985.1	OY015312.1	1248	126733743
Cheilosia_scutellata	GCA_955612985.1	OY015313.1	1099	102676777
Cheilosia_scutellata	GCA_955612985.1	OY015314.1	864	77484309
Cheilosia_scutellata	GCA_955612985.1	OY015315.1	63	9992335
Cheilosia_scutellata	GCA_955612985.1	OY015316.1	0	1151748
Cheilosia_soror	GCA_949372485.1	OX443561.1	1647	160671766
Cheilosia_soror	GCA_949372485.1	OX443562.1	1247	121577172
Cheilosia_soror	GCA_949372485.1	OX443563.1	1095	105873364
Cheilosia_soror	GCA_949372485.1	OX443564.1	860	73365000
Cheilosia_soror	GCA_949372485.1	OX443565.1	65	10540391
Cheilosia_soror	GCA_949372485.1	OX443566.1	0	7850597
Cheilosia_urbana	GCA_946477585.1	OX297853.1	1230	181276847
Cheilosia_urbana	GCA_946477585.1	OX297854.1	1819	171959956
Cheilosia_urbana	GCA_946477585.1	OX297855.1	959	89198940
Cheilosia_urbana	GCA_946477585.1	OX297856.1	856	80646311
Cheilosia_urbana	GCA_946477585.1	OX297857.1	65	22081011
Cheilosia_variabilis	GCA_951230905.1	OX579676.1	1206	146055565
Cheilosia_variabilis	GCA_951230905.1	OX579677.1	922	70713320
Cheilosia_variabilis	GCA_951230905.1	OX579678.1	948	66014355
Cheilosia_variabilis	GCA_951230905.1	OX579679.1	859	61340066
Cheilosia_variabilis	GCA_951230905.1	OX579680.1	897	60228328
Cheilosia_variabilis	GCA_951230905.1	OX579681.1	61	8880396
Cheilosia_variabilis	GCA_951230905.1	OX579682.1	0	1509071
Cheilosia_vernalis	GCA_949126925.1	OX421358.1	1238	131745528
Cheilosia_vernalis	GCA_949126925.1	OX421359.1	965	74402177
Cheilosia_vernalis	GCA_949126925.1	OX421360.1	925	71139621
Cheilosia_vernalis	GCA_949126925.1	OX421361.1	856	69395271
Cheilosia_vernalis	GCA_949126925.1	OX421362.1	895	64638140
Cheilosia_vernalis	GCA_949126925.1	OX421363.1	66	20456391
Cheilosia_vulpina	GCA_916610125.1	OU744276.1	1238	117531788
Cheilosia_vulpina	GCA_916610125.1	OU744277.1	927	76593704
Cheilosia_vulpina	GCA_916610125.1	OU744278.1	968	69418634
Cheilosia_vulpina	GCA_916610125.1	OU744279.1	860	64489669
Cheilosia_vulpina	GCA_916610125.1	OU744280.1	899	63252922
Cheilosia_vulpina	GCA_916610125.1	OU744281.1	66	13342292
Chironomus_riparius	GCA_917627325.4	OU895877.1	1312	61357614
Chironomus_riparius	GCA_917627325.4	OU895878.1	1451	58906861
Chironomus_riparius	GCA_917627325.4	OU895879.1	1148	53163979
Chironomus_riparius	GCA_917627325.4	OU895880.1	194	17018963
Chironomus_striatipennis	GCA_026123125.1	CM047391.1	193	20397500
Chironomus_striatipennis	GCA_026123125.1	CM047392.1	1295	54513000
Chironomus_striatipennis	GCA_026123125.1	CM047393.1	1172	44727155
Chironomus_striatipennis	GCA_026123125.1	CM047394.1	1396	60128345
Chironomus_tentans	GCA_963573255.1	OY754302.1	1311	56502651
Chironomus_tentans	GCA_963573255.1	OY754303.1	1453	55585213
Chironomus_tentans	GCA_963573255.1	OY754304.1	1146	49282168
Chironomus_tentans	GCA_963573255.1	OY754305.1	206	23567031
Chloromyia_formosa	GCA_964017055.1	OZ024813.1	1050	171211885
Chloromyia_formosa	GCA_964017055.1	OZ024814.1	917	156828290
Chloromyia_formosa	GCA_964017055.1	OZ024815.1	947	156030387
Chloromyia_formosa	GCA_964017055.1	OZ024816.1	654	111965586
Chloromyia_formosa	GCA_964017055.1	OZ024817.1	633	103583461
Chloromyia_formosa	GCA_964017055.1	OZ024818.1	557	68480583
Chloromyia_formosa	GCA_964017055.1	OZ024819.1	88	13111137
Chlorops_oryzae	GCA_020466095.1	CM035806.1	1720	173276640
Chlorops_oryzae	GCA_020466095.1	CM035807.1	1404	117565011
Chlorops_oryzae	GCA_020466095.1	CM035808.1	877	97042877
Chlorops_oryzae	GCA_020466095.1	CM035809.1	469	29535905
Chorisops_tibialis	GCA_963669355.1	OY770262.1	1986	333366068
Chorisops_tibialis	GCA_963669355.1	OY770263.1	1743	315088429
Chorisops_tibialis	GCA_963669355.1	OY770264.1	1059	191010846
Chorisops_tibialis	GCA_963669355.1	OY770265.1	86	13574692
Chorisops_tibialis	GCA_963669355.1	OY770266.1	0	11904257
Chrysopilus_asiliformis	GCA_964034945.1	OZ035960.1	1284	117003464
Chrysopilus_asiliformis	GCA_964034945.1	OZ035961.1	1306	116070134
Chrysopilus_asiliformis	GCA_964034945.1	OZ035962.1	1263	114802334
Chrysopilus_asiliformis	GCA_964034945.1	OZ035963.1	802	68480663
Chrysopilus_asiliformis	GCA_964034945.1	OZ035964.1	92	10879406
Chrysops_caecutiens	GCA_963971475.1	OZ020567.1	1287	85821565
Chrysops_caecutiens	GCA_963971475.1	OZ020568.1	1188	81169324
Chrysops_caecutiens	GCA_963971475.1	OZ020569.1	1044	53359622
Chrysops_caecutiens	GCA_963971475.1	OZ020570.1	1054	37539698
Chrysops_viduatus	GCA_964274935.1	OZ188066.1	1051	78302191
Chrysops_viduatus	GCA_964274935.1	OZ188067.1	1060	56353806
Chrysops_viduatus	GCA_964274935.1	OZ188068.1	1190	55789465
Chrysops_viduatus	GCA_964274935.1	OZ188069.1	309	42174224
Chrysops_viduatus	GCA_964274935.1	OZ188070.1	991	40995756
Chrysotoxum_bicinctum	GCA_911387755.1	OU426987.1	1287	269711166
Chrysotoxum_bicinctum	GCA_911387755.1	OU426988.1	1280	265788494
Chrysotoxum_bicinctum	GCA_911387755.1	OU426989.1	1440	233714978
Chrysotoxum_bicinctum	GCA_911387755.1	OU426990.1	850	117573787
Chrysotoxum_bicinctum	GCA_911387755.1	OU426991.1	63	14538572
Chrysotoxum_festivum	GCA_963931855.1	OZ007554.1	1278	260819945
Chrysotoxum_festivum	GCA_963931855.1	OZ007555.1	1300	254310297
Chrysotoxum_festivum	GCA_963931855.1	OZ007556.1	1421	221547688
Chrysotoxum_festivum	GCA_963931855.1	OZ007557.1	849	109738096
Chrysotoxum_festivum	GCA_963931855.1	OZ007558.1	63	14855393
Chymomyza_fuscimana	GCA_949987675.1	OX465088.1	2155	146831255
Chymomyza_fuscimana	GCA_949987675.1	OX465089.1	1967	104850594
Chymomyza_fuscimana	GCA_949987675.1	OX465092.1	19	9992353
Chymomyza_fuscimana	GCA_949987675.1	OX465090.1	797	65373579
Chymomyza_fuscimana	GCA_949987675.1	OX465091.1	0	10196459
Cistogaster_globosa	GCA_937654795.1	OW569403.1	1285	175753085
Cistogaster_globosa	GCA_937654795.1	OW569404.1	843	144120729
Cistogaster_globosa	GCA_937654795.1	OW569405.1	964	122899074
Cistogaster_globosa	GCA_937654795.1	OW569406.1	917	122477086
Cistogaster_globosa	GCA_937654795.1	OW569407.1	955	107091522
Cistogaster_globosa	GCA_937654795.1	OW569408.1	18	26885630
Cistogaster_globosa	GCA_937654795.1	OW569409.1	0	815438
Clusia_tigrina	GCA_920105625.2	OV050030.1	919	429819325
Clusia_tigrina	GCA_920105625.2	OV050031.1	1244	230177572
Clusia_tigrina	GCA_920105625.2	OV050033.1	1764	187985123
Clusia_tigrina	GCA_920105625.2	OV050032.1	906	206066962
Clusia_tigrina	GCA_920105625.2	OV050034.1	0	6710305
Coelopa_frigida	GCA_017309665.1	CM029561.1	1175	44106134
Coelopa_frigida	GCA_017309665.1	CM029562.1	843	37402801
Coelopa_frigida	GCA_017309665.1	CM029563.1	891	33934645
Coelopa_frigida	GCA_017309665.1	CM029564.1	896	33712392
